
 KMC03.1.0.py Output
 Total x2:499001
 D:26474.269814924544
 T:4.712131849984908
 Trajectory:500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
500.0	500.0	
